,TechType,HighSpeed,population,date
0,DOCSIS,0,82824792,2015-06-01
1,DOCSIS,1,190052437,2015-06-01
2,DSL,0,269467520,2015-06-01
3,DSL,1,69221,2015-06-01
4,FTTH,0,50144215,2015-06-01
5,FTTH,1,14485582,2015-06-01
6,Other,0,101851178,2015-06-01
7,Other,1,3196263,2015-06-01
0,DOCSIS,0,35051326,2017-06-01
1,DOCSIS,1,239932173,2017-06-01
2,DSL,0,270315430,2017-06-01
3,DSL,1,4428924,2017-06-01
4,FTTH,0,17392668,2017-06-01
5,FTTH,1,73287981,2017-06-01
6,Other,0,112168880,2017-06-01
7,Other,1,5938848,2017-06-01
0,DOCSIS,0,68501021,2016-06-01
1,DOCSIS,1,203640635,2016-06-01
2,DSL,0,269157685,2016-06-01
3,DSL,1,2768672,2016-06-01
4,FTTH,0,52104331,2016-06-01
5,FTTH,1,19607449,2016-06-01
6,Other,0,110546667,2016-06-01
7,Other,1,4223697,2016-06-01
0,DOCSIS,0,50291671,2016-12-01
1,DOCSIS,1,224010100,2016-12-01
2,DSL,0,264360353,2016-12-01
3,DSL,1,4415290,2016-12-01
4,FTTH,0,18471890,2016-12-01
5,FTTH,1,64941891,2016-12-01
6,Other,0,108677972,2016-12-01
7,Other,1,6106719,2016-12-01
0,DOCSIS,0,8975905,2017-12-01
1,DOCSIS,1,267389619,2017-12-01
2,DSL,0,269066885,2017-12-01
3,DSL,1,6330479,2017-12-01
4,FTTH,0,16755012,2017-12-01
5,FTTH,1,80643047,2017-12-01
6,Other,0,120948119,2017-12-01
7,Other,1,5610978,2017-12-01
0,DOCSIS,0,76999676,2015-12-01
1,DOCSIS,1,195034858,2015-12-01
2,DSL,0,267417037,2015-12-01
3,DSL,1,2654877,2015-12-01
4,FTTH,0,50589846,2015-12-01
5,FTTH,1,16273970,2015-12-01
6,Other,0,100140551,2015-12-01
7,Other,1,3256718,2015-12-01
0,DOCSIS,0,5763855,2018-06-01
1,DOCSIS,1,270871962,2018-06-01
2,DSL,0,269505835,2018-06-01
3,DSL,1,7327620,2018-06-01
4,FTTH,0,16035579,2018-06-01
5,FTTH,1,88225324,2018-06-01
6,Other,0,101278362,2018-06-01
7,Other,1,11028454,2018-06-01
0,DOCSIS,0,87094730,2014-12-01
1,DOCSIS,1,184817563,2014-12-01
2,DSL,0,269502588,2014-12-01
3,DSL,1,69295,2014-12-01
4,FTTH,0,48542174,2014-12-01
5,FTTH,1,13438190,2014-12-01
6,Other,0,102993039,2014-12-01
7,Other,1,3076825,2014-12-01
