STATE,Broadband Initiative,Federal,Percent
Alabama,4874142.0,91596026.0,2.60%
Alaska,6378198.0,0.0,0
Arizona,6358179.0,0.0,0
Arkansas,6175366.0,102131393.0,2.90%
California,7981304.0,350064330.0,10%
Colorado,5382082.0,112772612.0,3.20%
Connecticut,3782938.0,93855029.0,2.70%
Delaware,3080450.0,0.0,0
Florida,8877028.0,55902591.0,1.60%
Georgia,5229940.0,69687765.0,2%
Guam,1558950.0,8039792.0,0.20%
Idaho,4486214.0,8169716.0,0.20%
Illinois,6554641.0,173923501.0,5%
Indiana,3294766.0,39397487.0,1.10%
Iowa,5769942.0,33945037.0,1%
Kansas,6371514.0,998419.0,0%
Kentucky,5302717.0,535308.0,0%
Louisana,6649679.0,89759799.0,2.60%
Maine,4978492.0,25402904.0,0.70%
Maryland,4755768.0,115240581.0,3.30%
Massachusetts,6162554.0,77517537.0,2.20%
Michigan,4755684.0,108574985.0,3.10%
Minnesota,4470035.0,36200630.0,1%
Mississippi,7011691.0,102364489.0,2.90%
Missouri,6573382.0,71745250.0,2.10%
Montana,6084826.0,13796640.0,0.40%
Nebraska,5662785.0,11547866.0,0.30%
Nevada,3993441.0,26713723.0,0.80%
New Hampshire,6113338.0,44480992.0,1.30%
New Jersey,4926106.0,39638152.0,1.10%
New Mexico,4762287.0,76978670.0,2.20%
New York,8923532.0,38938988.0,1.10%
North Carolina,6610996.0,120685297.0,3.50%
North Dakota,3664087.0,10781157.0,0.30%
Ohio,7025762.0,141300142.0,4.10%
Oklahoma,3815185.0,83470346.0,2.40%
Oregon,5658302.0,20548476.0,0.60%
Pennsylvania,7356301.0,128444692.0,3.70%
Rhode Island,4544787.0,21739183.0,0.60%
South Carolina,3979832.0,9604840.0,0.30%
South Dakota,5729415.0,20572242.0,0.60%
Tennessee,4479620.0,15865636.0,0.50%
Texas,8026000.0,67698503.0,1.90%
Utah,5196025.0,31048683.0,0.90%
Vermont,3542996.0,45649894.0,1.30%
Virgin Islands,3009506.0,58888469.0,1.70%
Virginia,8099979.0,92995941.0,2.70%
Washington,7314042.0,166058182.0,4.80%
West Virginia,4749181.0,129525056.0,3.70%
Wisconsin,4540152.0,57969654.0,1.70%
Wyoming,4153833.0,10671802.0,0.30%
