TechType,HighSpeed,population,state
DOCSIS,0,154467,AL
DOCSIS,1,3715798,AL
DSL,0,4122492,AL
DSL,1,2597,AL
FTTH,0,539530,AL
FTTH,1,1289698,AL
Other,0,1090433,AL
Other,1,736,AL
DOCSIS,0,26120,AK
DOCSIS,1,535042,AK
DSL,0,492668,AK
DSL,1,2,AK
FTTH,0,3722,AK
FTTH,1,38647,AK
Other,0,417324,AK
Other,1,4378,AK
DOCSIS,0,37354,AZ
DOCSIS,1,5388376,AZ
DSL,0,4423022,AZ
DSL,1,1360001,AZ
FTTH,0,47836,AZ
FTTH,1,630071,AZ
Other,0,5617726,AZ
Other,1,39524,AZ
DOCSIS,0,556037,AR
DOCSIS,1,1583336,AR
DSL,0,2530008,AR
DSL,1,1054,AR
FTTH,0,48208,AR
FTTH,1,297101,AR
Other,0,894491,AR
Other,1,5,AR
DOCSIS,0,195969,CA
DOCSIS,1,35142163,CA
DSL,0,34697936,CA
DSL,1,6217,CA
FTTH,0,5346889,CA
FTTH,1,5104304,CA
Other,0,8704655,CA
Other,1,6203392,CA
DOCSIS,0,26903,CO
DOCSIS,1,4349603,CO
DSL,0,3628020,CO
DSL,1,1102907,CO
FTTH,0,90512,CO
FTTH,1,916680,CO
Other,0,2667209,CO
Other,1,1498751,CO
DOCSIS,0,5,CT
DOCSIS,1,3537514,CT
DSL,0,3425229,CT
FTTH,1,63790,CT
Other,0,44187,CT
DOCSIS,0,833,DE
DOCSIS,1,865840,DE
DSL,0,637090,DE
FTTH,1,508252,DE
Other,0,166166,DE
DOCSIS,1,595303,DC
DSL,0,563016,DC
FTTH,0,83,DC
FTTH,1,470616,DC
Other,0,41111,DC
DOCSIS,0,21787,FL
DOCSIS,1,17735481,FL
DSL,0,17283365,FL
DSL,1,385351,FL
FTTH,0,2394447,FL
FTTH,1,4595170,FL
Other,0,5980335,FL
Other,1,37413,FL
DOCSIS,0,296667,GA
DOCSIS,1,8103990,GA
DSL,0,8752286,GA
DSL,1,85237,GA
FTTH,0,193531,GA
FTTH,1,3719616,GA
Other,0,754974,GA
Other,1,264,GA
DOCSIS,1,1305596,HI
DSL,0,1265892,HI
DSL,1,432,HI
FTTH,0,6845,HI
FTTH,1,698328,HI
Other,0,25947,HI
DOCSIS,0,90365,ID
DOCSIS,1,1149008,ID
DSL,0,1220193,ID
DSL,1,191591,ID
FTTH,0,141263,ID
FTTH,1,124540,ID
Other,0,1488517,ID
Other,1,2310,ID
DOCSIS,0,128250,IL
DOCSIS,1,11731459,IL
DSL,0,11905260,IL
DSL,1,7717,IL
FTTH,0,109566,IL
FTTH,1,1607156,IL
Other,0,5155855,IL
Other,1,46854,IL
DOCSIS,0,43726,IN
DOCSIS,1,5429778,IN
DSL,0,5791167,IN
FTTH,0,441298,IN
FTTH,1,1380457,IN
Other,0,4780723,IN
Other,1,381,IN
DOCSIS,0,126437,IA
DOCSIS,1,2241790,IA
DSL,0,2464964,IA
DSL,1,170417,IA
FTTH,0,316921,IA
FTTH,1,594320,IA
Other,0,1711900,IA
Other,1,56,IA
DOCSIS,0,201636,KS
DOCSIS,1,2063548,KS
DSL,0,2446548,KS
FTTH,0,96475,KS
FTTH,1,870437,KS
Other,0,2648761,KS
DOCSIS,0,374399,KY
DOCSIS,1,3240079,KY
DSL,0,3632089,KY
DSL,1,15779,KY
FTTH,0,56545,KY
FTTH,1,1175450,KY
Other,0,1713472,KY
Other,1,13385,KY
DOCSIS,0,205675,LA
DOCSIS,1,3766298,LA
DSL,0,3925581,LA
DSL,1,11,LA
FTTH,0,812164,LA
FTTH,1,737706,LA
Other,0,1899260,LA
Other,1,380,LA
DOCSIS,0,31967,ME
DOCSIS,1,1168657,ME
DSL,0,1284716,ME
FTTH,0,42127,ME
FTTH,1,41002,ME
Other,0,222491,ME
Other,1,2183,ME
DOCSIS,0,2040,MD
DOCSIS,1,5513214,MD
DSL,0,4415122,MD
DSL,1,1976,MD
FTTH,0,1132,MD
FTTH,1,3547379,MD
Other,0,1502210,MD
Other,1,2330,MD
DOCSIS,0,44940,MA
DOCSIS,1,6344818,MA
DSL,0,5860036,MA
FTTH,0,684,MA
FTTH,1,2857732,MA
Other,0,1004921,MA
Other,1,26020,MA
DOCSIS,0,34118,MI
DOCSIS,1,8734961,MI
DSL,0,8957261,MI
FTTH,0,29525,MI
FTTH,1,1112804,MI
Other,0,2334901,MI
Other,1,5681,MI
DOCSIS,0,127882,MN
DOCSIS,1,4289414,MN
DSL,0,4174110,MN
DSL,1,721123,MN
FTTH,0,147819,MN
FTTH,1,1213286,MN
Other,0,3633242,MN
Other,1,241377,MN
DOCSIS,0,128380,MS
DOCSIS,1,1933318,MS
DSL,0,2503210,MS
DSL,1,288,MS
FTTH,0,19256,MS
FTTH,1,1163119,MS
Other,0,699612,MS
DOCSIS,0,125419,MO
DOCSIS,1,4596963,MO
DSL,0,5368107,MO
DSL,1,216,MO
FTTH,0,85093,MO
FTTH,1,1704305,MO
Other,0,4832376,MO
Other,1,1021,MO
DOCSIS,0,21992,MT
DOCSIS,1,623142,MT
DSL,0,876618,MT
DSL,1,32971,MT
FTTH,0,39936,MT
FTTH,1,107814,MT
Other,0,733980,MT
Other,1,252,MT
DOCSIS,0,72513,NE
DOCSIS,1,1370366,NE
DSL,0,1478174,NE
DSL,1,81030,NE
FTTH,0,83789,NE
FTTH,1,384412,NE
Other,0,1697621,NE
Other,1,1053,NE
DOCSIS,0,28656,NV
DOCSIS,1,2429067,NV
DSL,0,2329120,NV
DSL,1,183248,NV
FTTH,0,41595,NV
FTTH,1,877387,NV
Other,0,1311624,NV
Other,1,455,NV
DOCSIS,1,1225288,NH
DSL,0,1258525,NH
FTTH,0,34386,NH
FTTH,1,362176,NH
Other,0,29302,NH
DOCSIS,0,2350,NJ
DOCSIS,1,8692911,NJ
DSL,0,7459472,NJ
DSL,1,46538,NJ
FTTH,0,1175,NJ
FTTH,1,6094889,NJ
Other,0,1445,NJ
Other,1,31605,NJ
DOCSIS,0,28153,NM
DOCSIS,1,1511244,NM
DSL,0,1693592,NM
DSL,1,204672,NM
FTTH,0,86224,NM
FTTH,1,107747,NM
Other,0,1640754,NM
Other,1,25176,NM
DOCSIS,0,34140,NY
DOCSIS,1,18958248,NY
DSL,0,17677454,NY
FTTH,0,126308,NY
FTTH,1,12023349,NY
Other,0,1908518,NY
Other,1,2650026,NY
DOCSIS,0,272837,NC
DOCSIS,1,8486017,NC
DSL,0,8613193,NC
DSL,1,282475,NC
FTTH,0,290536,NC
FTTH,1,2873664,NC
Other,0,891205,NC
Other,1,616,NC
DOCSIS,0,28,ND
DOCSIS,1,463488,ND
DSL,0,437195,ND
DSL,1,25357,ND
FTTH,0,8624,ND
FTTH,1,270527,ND
Other,0,139232,ND
Other,1,431,ND
DOCSIS,0,243515,OH
DOCSIS,1,10506096,OH
DSL,0,10459223,OH
DSL,1,1104,OH
FTTH,0,207347,OH
FTTH,1,1846760,OH
Other,0,2429104,OH
Other,1,33119,OH
DOCSIS,0,139535,OK
DOCSIS,1,2547509,OK
DSL,0,3170770,OK
DSL,1,42011,OK
FTTH,0,94168,OK
FTTH,1,561687,OK
Other,0,1997755,OK
Other,1,2075,OK
DOCSIS,0,47989,OR
DOCSIS,1,3338064,OR
DSL,0,3103431,OR
DSL,1,414271,OR
FTTH,0,745995,OR
FTTH,1,874441,OR
Other,0,1384397,OR
Other,1,26366,OR
DOCSIS,0,35177,PA
DOCSIS,1,11941412,PA
DSL,0,10447144,PA
DSL,1,5193,PA
FTTH,0,44734,PA
FTTH,1,7146757,PA
Other,0,889436,PA
Other,1,375,PA
DOCSIS,0,0,RI
DOCSIS,1,1024810,RI
DSL,0,850846,RI
FTTH,1,886625,RI
DOCSIS,0,382955,SC
DOCSIS,1,3615502,SC
DSL,0,4042297,SC
DSL,1,11381,SC
FTTH,0,106044,SC
FTTH,1,1188689,SC
Other,0,169468,SC
Other,1,37,SC
DOCSIS,0,34883,SD
DOCSIS,1,514035,SD
DSL,0,579957,SD
DSL,1,40014,SD
FTTH,0,152178,SD
FTTH,1,107404,SD
Other,0,486563,SD
DOCSIS,0,94899,TN
DOCSIS,1,5352828,TN
DSL,0,5670858,TN
DSL,1,57034,TN
FTTH,0,39899,TN
FTTH,1,2209499,TN
Other,0,999449,TN
Other,1,5742,TN
DOCSIS,0,792608,TX
DOCSIS,1,21048222,TX
DSL,0,22085664,TX
DSL,1,64434,TX
FTTH,0,1659316,TX
FTTH,1,6725007,TX
Other,0,14141910,TX
Other,1,10565,TX
DOCSIS,0,140949,UT
DOCSIS,1,2357332,UT
DSL,0,1964204,UT
DSL,1,700012,UT
FTTH,0,74422,UT
FTTH,1,877798,UT
Other,0,2547661,UT
Other,1,4232,UT
DOCSIS,0,10630,VT
DOCSIS,1,495988,VT
DSL,0,609044,VT
FTTH,0,3101,VT
FTTH,1,121685,VT
Other,0,92895,VT
Other,1,55,VT
DOCSIS,0,45436,VA
DOCSIS,1,6983611,VA
DSL,0,6345319,VA
DSL,1,44448,VA
FTTH,0,63425,VA
FTTH,1,4019432,VA
Other,0,2000853,VA
DOCSIS,0,112728,WA
DOCSIS,1,6009473,WA
DSL,0,5320903,WA
DSL,1,1027402,WA
FTTH,0,990046,WA
FTTH,1,1341780,WA
Other,0,2053826,WA
Other,1,7683,WA
DOCSIS,0,62503,WV
DOCSIS,1,1351574,WV
DSL,0,1638865,WV
FTTH,0,25412,WV
FTTH,1,31280,WV
Other,0,557561,WV
Other,1,307,WV
DOCSIS,0,113458,WI
DOCSIS,1,4627612,WI
DSL,0,5148636,WI
DSL,1,2224,WI
FTTH,0,124224,WI
FTTH,1,665541,WI
Other,0,2786917,WI
Other,1,53,WI
DOCSIS,0,64545,WY
DOCSIS,1,336776,WY
DSL,0,475943,WY
DSL,1,8885,WY
FTTH,0,21224,WY
FTTH,1,57008,WY
Other,0,354087,WY
Other,1,101790,WY
